Bofu Status,Count
,498
LS_ADMIT_ACCEPTED,72
LS_ADMIT_DECLINED,17352
LS_ADMIT_RECEIVED,6
LS_ADMIT_REJECTED_BY_INSTITUTE,7520
LS_AGENT_CHANGE_CALL_SCHEDULED,3
LS_APPLICATION_IN_PROCESS,470
LS_APPLICATION_ON_HOLD_BY_AGGREGATOR,335
LS_APPLICATION_ON_HOLD_BY_INSTITUTE,1154
LS_APPLICATION_PROCESS_ON_HOLD,3177
LS_APPLICATION_PROCESS_STARTED,34
LS_APPLICATION_REJECTED_BY_AGGREGATOR,2453
LS_APPLICATION_SUBMITTED_TO_AGGREGATOR,178
LS_APPLICATION_SUBMITTED_TO_INSTITUTE,10211
LS_COLLEGE_FINALIZED,7923
LS_COLLEGE_SHORTLISTED,60131
LS_CONDITIONAL_ADMIT_RECEIVED,14007
LS_COUNSELING_CALL_DONE,3
LS_DEAD_LEAD,7736
LS_DEPOSIT_PAID,51
LS_LEAD_CAPTURED,34664
LS_LEAD_CLOSED_AFTER_SALES_CALL,3
LS_LEAD_DROP_OFF,356821
LS_OFFER_REVOKED_BY_UNIVERSITY,2414
LS_PAYMENT_DONE,9910
LS_TUITION_FEE_PAID,8
LS_UNCONDITIONAL_ADMIT_RECEIVED,4002
LS_USER_ACQUIRED,3
LS_VISA_APPLIED,419
LS_VISA_DROPPED,3541
LS_VISA_FILING_STARTED,14
LS_VISA_GRANTED,16730
LS_VISA_PROCESS_ON_HOLD,1574
LS_VISA_REJECTED,1579
LS_VISA_WIP,386
LS_WEBINAR_ATTENDED,2448
LS_WEBINAR_CANCELLED,3
LS_WEBINAR_SCHEDULED,4237
